Serial	Project Name	Project Description	GitHub URL	Relevance Score (0-5)
3	TicTacToe	Let's Play Tic Tac Toe App for Android	https://baishakhir@github.com/sachindayl/TicTacToe	5
4	n-puzzle-2	The sliding tiles game with an AI solver	http://baishakhir@github.com/steveinflow/n-puzzle-2	2
5	Toe	A Tic Tac Toe game for Android featuring 1 or 2 player mode with multiple skill levels	https://baishakhir@github.com/Earthblood/Toe	5
6	TicTacToe	Repository for The Classic Game Tic Tac Toe in Android Platform	https://baishakhir@github.com/sankarshan-kundu/TicTacToe	5
7	Tic-Tac-Toe-Android-Live-Wallpaper	This is a simple Tic Tac Toe game made using libGDX as a live wallpaper for android.	https://baishakhir@github.com/BoldijarPaul/Tic-Tac-Toe-Android-Live-Wallpaper	3
8	okeybot	Okey Game AI Implementation	https://baishakhir@github.com/ilkinulas/okeybot	0
9	android-tic-tac-toe	Tic-tac-toe demonstration project for Android (with AI)	https://baishakhir@github.com/andrei-kuznetsov/android-tic-tac-toe	4
10	PinchToClose	Android library to close an activity by pinching it with 3+ fingers	https://baishakhir@github.com/marnore/PinchToClose	0
Query:25	Search Project: rkpi	Radio KPI Android player	https://baishakhir@github.com/dector/rkpi	
1	SoundBox	Android Music Player	https://baishakhir@github.com/FlyingPumba/SoundBox	3
2	intent_radio	An intent-driven internet radio player for Android.	http://baishakhir@github.com/smblott-github/intent_radio	5
3	transistor	Transistor - Radio App for Android	https://baishakhir@github.com/y20k/transistor	5
4	kure-music-player	Open-source music player for Android	http://baishakhir@github.com/alexdantas/kure-music-player	3
5	bluebirdradio	Bluebird Radio for android.	https://baishakhir@github.com/Kjwon15/bluebirdradio	4
6	KnightNews_Android	News reader app for KnightNews on Android.	https://baishakhir@github.com/JimVanG/KnightNews_Android	1
7	Mach-Music-Player	Android music player	https://baishakhir@github.com/andrewkiluk/Mach-Music-Player	3
8	wrekonline	WREK Online for Android	https://baishakhir@github.com/jselbie/wrekonline	0
9	femis-open-player	Opensource Audio Player for Android	https://baishakhir@github.com/feminefa/femis-open-player	3
10	screen-notifications	An Android app to turn the screen on for notifications	http://baishakhir@github.com/lkorth/screen-notifications	0
Query:28	Search Project: aikuma	Android software for recording and translation	https://baishakhir:f000bar@github.com/aikuma/aikuma	
1	screenrecordlibrary	Library integrates screen record api in android 5.0 and above	https://baishakhir@github.com/Charlesjean/screenrecordlibrary	3
2	AndroidHelloTranslate	A Simple Helloworld Android project which allows to translate a short text phrases and voice them using Google translate web service.	https://baishakhir@github.com/alisovets/AndroidHelloTranslate	4
3	EasyToken	RSA SecurID-compatible software token for Android	http://baishakhir@github.com/cernekee/EasyToken	0
4	AnotherMonitor	Monitors and records the CPU and memory usage of Android devices	https://baishakhir@github.com/AntonioRedondo/AnotherMonitor	0
5	Strongbox	Encrypted Video Recording for Android	https://baishakhir@github.com/0xPoly/Strongbox	1
6	Transportr	A public transport app for Android that is fully Free Software	https://baishakhir@github.com/grote/Transportr	0
7	syncthing-android	Wrapper of syncthing for Android.	http://baishakhir@github.com/syncthing/syncthing-android	0
8	dictionary	Simple Android application for translating text.	https://baishakhir@github.com/italankin/dictionary	3
9	DocuTranslator	Document translator for android	https://baishakhir@github.com/fouady/DocuTranslator	3
10	Telecine	Record full-resolution video on your Android devices.	https://baishakhir@github.com/JakeWharton/Telecine	1
Query:30	Search Project: chessonline	Android Chess Online	https://baishakhir@github.com/spdd/chessonline	
1	wrekonline	WREK Online for Android	https://baishakhir@github.com/jselbie/wrekonline	0
2	android-chess	Chess game for Android.	http://baishakhir@github.com/jcarolus/android-chess	5
3	dodroid	Android quiz for programmers	https://baishakhir@github.com/mgolokhov/dodroid	0
4	MemMaze	A game for Android	https://baishakhir@github.com/emidander/MemMaze	2
5	android_gisapp	GIS application for Android	https://baishakhir@github.com/nextgis/android_gisapp	0
6	intent_radio	An intent-driven internet radio player for Android.	http://baishakhir@github.com/smblott-github/intent_radio	0
7	inspire-android	The Android Inspire app	https://baishakhir@github.com/jordanjoz1/inspire-android	0
8	Glucopro-android-app	Glucopro android app (Masters)	https://baishakhir@github.com/saratkiran/Glucopro-android-app	0
9	TouchBall	Android Game.	https://baishakhir@github.com/dermotblair/TouchBall	2
10	shapemergency	Android arcade game.	https://baishakhir@github.com/adsgray/shapemergency	2
Query:31	Search Project: redPandaj	redPanda - secure peer-to-peer chat	https://baishakhir@github.com/redPanda-project/redPandaj	
1	ZmqVideoChat	Android Video Chat Application with ZeroMQ an Node.js	http://baishakhir@github.com/eggerdo/ZmqVideoChat	4
2	Yaaic	Yaaic (Yet Another Android IRC Client) is as the name already says an Internet Relay Chat (IRC) client for Android devices.	http://baishakhir@github.com/pocmo/Yaaic	3
3	underdark-android	Bluetooth peer-to-peer mesh networking for Android	https://baishakhir@github.com/udark/underdark-android	1
4	EncryptedSMSBackup	Securely Backup your SMS on Android	https://baishakhir@github.com/aladagemre/EncryptedSMSBackup	1
5	android	redPanda client for android.	https://baishakhir@github.com/redPanda-project/android	0
6	NetCipher	Network Security and Proxy Library for Android	http://baishakhir@github.com/guardianproject/NetCipher	0
7	android_lucidchat	Very simple to use ninchat.com, IRC alike chat protocol, client with only very few options.	https://baishakhir@github.com/harism/android_lucidchat	3
8	P2P4Android	P2P Messaging Library For Android	http://baishakhir@github.com/ilkinulas/P2P4Android	4
9	Shoutemo	Shoutemo is a group chat app to use the shoutbox of autemo.com on your Android phone.	https://baishakhir@github.com/msal/Shoutemo	3
10	MI-Chat	Macinsiders native Android chat app	http://baishakhir@github.com/AfzalivE/MI-Chat	4
Query:42	Search Project: TaskNearby	Location Based Reminders App	https://baishakhir@github.com/YashVerma1996/TaskNearby	
1	DistanceCalculator	Small Android app that uses the GPS/Network location to measure the distance between two places.	https://baishakhir@github.com/georgerappel/DistanceCalculator	3
2	trackr	Location tracking app	https://baishakhir@github.com/mustapha-babatunde-andela/trackr	3
3	Open-Reminder	A reminder app for Android	https://baishakhir@github.com/spanglerware/Open-Reminder	1
4	android-nmea-logger	Track location actively (using gps) or passively (using Android passive location provider) and log location data in NMEA format compatible with Canon Camera Window App	https://baishakhir@github.com/hmrs-cr/android-nmea-logger	4
5	LocationData	Location Data Android App - https://play.google.com/store/apps/details?id=com.tangojlabs.locationdata	https://baishakhir@github.com/TangoJLabs/LocationData	2
6	android-hourly-reminder	Android Hourly Reminder App	https://baishakhir@github.com/axet/android-hourly-reminder	1
7	NotifyMe	Location base Notification android app. Research project for location detecting from three methods in android	https://baishakhir@github.com/kavi707/NotifyMe	5
8	lbm-client	Lazooz Location Based Mining App	https://baishakhir@github.com/orenyodfat/lbm-client	0
9	photogpstag	Simple app to log location in a battery efficient way	https://baishakhir@github.com/budius/photogpstag	3
10	Gym-Locator	Android Local Gym Locator App using Google Places+Maps API	https://baishakhir@github.com/Coderhell/Gym-Locator	3
Query:49	Search Project: prettygoodmusicplayer	A music player app for Android hits the basics hard	http://baishakhir@github.com/smithdtyler/prettygoodmusicplayer	
1	nusic	your new music (android app)	https://baishakhir@github.com/schnatterer/nusic	3
2	Mach-Music-Player	Android music player	https://baishakhir@github.com/andrewkiluk/Mach-Music-Player	4
3	controldlna	DLNA and UPNP control point app for android.	http://baishakhir@github.com/Nutomic/controldlna	0
4	Share-to-Mopidy	Android app to send songs to mopidy	https://baishakhir@github.com/9and3r/Share-to-Mopidy	1
5	no-frills-cpu-classic	No-frills CPU Control CLASSIC app for Android	https://baishakhir@github.com/hrk/no-frills-cpu-classic	0
6	SoundBox	Android Music Player	https://baishakhir@github.com/FlyingPumba/SoundBox	4
7	PingApp_Demo	Demo Version of my first Android App.	https://baishakhir@github.com/SooperCode/PingApp_Demo	0
8	kure-music-player	Open-source music player for Android	http://baishakhir@github.com/alexdantas/kure-music-player	3
9	skill-shot-android	Skill Shot App for Android	https://baishakhir@github.com/aocole/skill-shot-android	0
10	overlaymusicplayer	Simple music player which has a playback control panel on the top of any other app	https://baishakhir@github.com/yohpapa/overlaymusicplayer	3
